timestamp,player_count,note
2026-03-19 21:50 UTC,11,
2026-03-20 21:02 UTC,9,
2026-03-21 20:54 UTC,21,
2026-03-22 20:32 UTC,19,
2026-03-23 20:40 UTC,5,
2026-03-24 20:45 UTC,5,
2026-03-25 20:42 UTC,11,
2026-03-26 20:39 UTC,9,
2026-03-27 20:42 UTC,25,
2026-03-28 20:34 UTC,33,MILESTONE: 30
2026-03-29 20:36 UTC,16,
2026-03-30 20:50 UTC,12,
2026-03-31 20:46 UTC,6,
2026-04-01 20:49 UTC,15,
2026-04-02 20:38 UTC,24,
2026-04-03 20:39 UTC,12,
2026-04-04 20:35 UTC,12,
2026-04-05 20:36 UTC,36,
2026-04-06 20:39 UTC,9,
2026-04-07 20:51 UTC,1,
2026-04-08 20:48 UTC,14,
2026-04-09 20:54 UTC,2,
2026-04-10 20:41 UTC,20,
2026-04-11 20:37 UTC,24,
2026-04-12 20:40 UTC,15,
2026-04-13 20:57 UTC,14,
2026-04-14 20:58 UTC,11,
2026-04-15 20:54 UTC,3,
2026-04-16 20:52 UTC,10,
2026-04-17 20:49 UTC,25,
2026-04-18 20:40 UTC,52,MILESTONE: 50
2026-04-19 20:41 UTC,18,
2026-04-20 20:52 UTC,16,
2026-04-21 20:56 UTC,10,
2026-04-22 20:58 UTC,2,
2026-04-23 20:55 UTC,4,
2026-04-24 20:53 UTC,12,
2026-04-25 20:42 UTC,7,
2026-04-26 20:41 UTC,19,
2026-04-27 21:05 UTC,4,
2026-04-28 21:09 UTC,11,
2026-04-29 21:08 UTC,5,
2026-04-30 21:04 UTC,9,
2026-05-01 20:56 UTC,10,
2026-05-02 20:45 UTC,14,
2026-05-03 20:48 UTC,27,
2026-05-04 21:10 UTC,5,
2026-05-05 21:05 UTC,7,
2026-05-06 21:12 UTC,5,
2026-05-07 21:05 UTC,4,
2026-05-08 21:03 UTC,13,
2026-05-09 20:49 UTC,11,
2026-05-10 20:52 UTC,17,
2026-05-11 21:19 UTC,3,
2026-05-12 21:21 UTC,4,
2026-05-13 21:27 UTC,5,
2026-05-14 21:12 UTC,2,
2026-05-15 21:04 UTC,12,
2026-05-16 20:52 UTC,25,
2026-05-17 20:55 UTC,19,
2026-05-18 21:14 UTC,6,
2026-05-19 21:21 UTC,5,
2026-05-20 20:47 UTC,0,
2026-05-21 20:40 UTC,8,
2026-05-22 20:36 UTC,19,
2026-05-23 20:21 UTC,16,
2026-05-24 20:24 UTC,12,
2026-05-25 20:34 UTC,8,
2026-05-26 20:45 UTC,10,
2026-05-27 20:47 UTC,9,
2026-05-28 20:52 UTC,5,
2026-05-29 20:52 UTC,9,
2026-05-30 20:26 UTC,15,
2026-05-31 20:29 UTC,20,
2026-06-01 21:14 UTC,7,
2026-06-02 21:09 UTC,4,
2026-06-03 21:10 UTC,11,
2026-06-04 20:47 UTC,7,
2026-06-05 20:40 UTC,6,
2026-06-06 20:30 UTC,14,
2026-06-07 20:31 UTC,8,
2026-06-08 20:56 UTC,3,
2026-06-09 20:49 UTC,5,
2026-06-10 20:58 UTC,2,
2026-06-11 20:53 UTC,11,
2026-06-12 20:49 UTC,8,
2026-06-13 20:33 UTC,22,
2026-06-14 20:33 UTC,13,
2026-06-15 21:05 UTC,4,
2026-06-16 21:06 UTC,6,
2026-06-17 20:50 UTC,8,
2026-06-18 20:55 UTC,7,
2026-06-19 20:35 UTC,4,
2026-06-20 20:32 UTC,3,
2026-06-21 20:37 UTC,14,
